vid_id,tr,en
eyhzdC936uk_15_27@22,bir adam iki eliyle ve sonra her iki eliyle de ayrı bir beşlik vermek için küçük siyah bir köpeği eğitiyor,a man is training a small black dog to give a highfive with both hands and then with either hands separately
eyhzdC936uk_15_27@23,köpeğiyle oynayan bir adam,a man playing with his dog
eyhzdC936uk_15_27@24,bir adam köpeğiyle alkış oyunu oynuyor,a man plays patty cake with his dog
eyhzdC936uk_15_27@25,bir fino köpeği birkaç tane beşlik verir,a poodle gives several high fives
eyhzdC936uk_15_27@26,küçük bir köpek pençelerini bir adamın ellerine dokundurur,a small dog touches his paws to a man s hands
eyhzdC936uk_15_27@27,asyalı bir adam köpek eğitiyor,an asian man is training a dog
eyhzdC936uk_15_27@28,köpek bir adamla pençeleri tokatlıyor,dog is slapping paws with a man
eyhzdC936uk_15_27@29,videoda bir adam köpekle oynuyor,in video a man is playing with dog
eyhzdC936uk_15_27@30,adam köpek beşlik veriyor,man is giving a dog high fives
eyhzdC936uk_15_27@31,adam kanişe biraz hile öğretiyor,man teach poodle some trick
eyhzdC936uk_15_27@32,köpek adamı taklit ediyor,the dog is imitating the man
eyhzdC936uk_15_27@33,köpek adamla alkış oyunu oynuyor,the dog is playing patty cake with the man
eyhzdC936uk_15_27@34,adam onun evcil köpekle oynuyor,the man is playing with his pet dog
eyhzdC936uk_15_27@35,adam bebek ayı ile oynuyor,the man is playing with the baby bear
eyhzdC936uk_15_27@36,bu adam evcil köpeğiyle oynuyor,this man is playing with his pet dog
eyhzdC936uk_15_27@37,bir adam ve köpeğin elleriyle pençeyle oynuyor,a man and dog are playing pattycake with their handspaws
f-24IxG9ijw_25_40@1,bir çocuk deniz kıyısı üzerinde bir motosiklet sürüyor,a boy is riding a motorcycle on the seashore
f-24IxG9ijw_25_40@2,bir adam sahilde deniz kenarında bir bisiklete biniyor,a man is riding a bike across the waves by the beachside
f-24IxG9ijw_25_40@3,bir adam plajda motorlu bisiklete biniyor,a man is riding a motor bike in beach
f-24IxG9ijw_25_40@4,bir adam bir plaj kenarında suda bir motosiklet sürüyor,a man is riding a motorcycle in the water at the edge of a beach
f-24IxG9ijw_25_40@5,bir adam bir motosiklete biniyor,a man is riding a motorcycle
f-24IxG9ijw_25_40@6,bir adam okyanusta onun motosikletine biniyor,a man is riding his motorcycle in the ocean
f-24IxG9ijw_25_40@7,bir adam sahilde bisiklet sürüyor,a man rides a bike through the beach
f-24IxG9ijw_25_40@8,bir adam sahilde motocross bisiklet sürüyor,a man rides a motocross bike on the beach
f-24IxG9ijw_25_40@9,bir adam bir sahilde bir motosiklet sürüyor,a man rides a motorcycle on a beach
f-24IxG9ijw_25_40@10,bir adam motorsikletini kıyıdaki sudan geçirdi,a man rode his motorcycle through the water at the shore
f-24IxG9ijw_25_40@11,plajda sörf yapan bir motosiklet,a motorcycle runs through the beach surf
f-24IxG9ijw_25_40@12,bir kişi sahilde dalgaların üzerinden bir motosiklet kullanıyor,a person is driving a motorcycle through waves on the shore
f-24IxG9ijw_25_40@13,bir kişi bir sahilde bir motosiklet sürüyor,a person rides a motorcycle on a beach
f-24IxG9ijw_25_40@14,biri sahil boyunca bisiklet sürerken,someone bikes across the beach
f-24IxG9ijw_25_40@15,birisi bir plajda bir motosiklet sürüyor,someone is riding a motorcycle on a beach
f-24IxG9ijw_25_40@16,biri sahilde bir motosiklete biniyor,someone is riding a motorcycle on the beach
f-24IxG9ijw_25_40@17,adam sahilde motosiklete biniyor,the man is riding the motorcycle on the beach
f-24IxG9ijw_25_40@18,motosiklet kıyıdaki dalgaların arasından geçti,the motorcycle rode through the waves on the shore
f-24IxG9ijw_25_40@19,plajda bisiklet süren bir adam,a man riding the bike at the beach
f-24IxG9ijw_25_40@20,bir kişi bir plajda su ile bir motosiklet sürüyor,a person is riding a motorcycle through the water on a beach
f-24IxG9ijw_25_40@21,kişi suda bisiklete biniyor,the person is bike riding in the water
f-24IxG9ijw_25_40@22,bir kişi bir sahilde bir motosiklet sürüyor,a person is riding a motorcycle on a beach
f-24IxG9ijw_25_40@23,bir adam su motosiklete biniyor,a man is riding motorcycle on water
f-24IxG9ijw_25_40@25,birisi plajın kenarında bir motosiklete biniyor,someone is riding a motorcycle on the edge of the beach
f-24IxG9ijw_25_40@26,mrf lastiklerinin reklamı,ad of the mrf tyres
f-24IxG9ijw_25_40@27,birisi motosiklete biniyor,someone is riding a motorcycle
f-24IxG9ijw_25_40@28,bir adam okyanusun içinden bir motosiklet sürüyor,a man rides a motorcycle through the ocean
f-24IxG9ijw_25_40@29,dalgalar halinde bisiklet süren bir adam,a man riding on his bike in waves
f-24IxG9ijw_25_40@30,bir plaj yakınında su bisikleti süren bir adam,a man driving the bike in the water near a beach
f-24IxG9ijw_25_40@31,bir kişi sahilde bir motosiklete biniyor,a person is riding a motercycle on the beach
f-24IxG9ijw_25_40@32,bir kişi suda bisiklete biniyor,a person is riding bike in the water
f-24IxG9ijw_25_40@33,bir adam bisikletini yarıştırıyor,a man race his bike
f-24IxG9ijw_25_40@34,deniz kıyısında bir motosiklet sürülüyor,a motorcycle is being ridden on the sea shore
f-24IxG9ijw_25_40@35,adam sahilde onun motosikletini sürüyor,the man is riding his motorcycle on the beach
f-24IxG9ijw_25_40@36,mrf lastikler için ilan,the advertisement for mrf tyres
f-24IxG9ijw_25_40@37,süper bisiklet ve adam,super bike and man
f-24IxG9ijw_25_40@38,bu şimdiye kadarki en iyi lastik performansı,this is the best tire performance ever
f9Won2JpOEU_60_80@1,bir kedi pençe yalayarak yatıyor,a cat is laying down licking it s paw
f9Won2JpOEU_60_80@2,bir kedi pençesini ve kafasını temizler,a cat cleans its paw and head
f9Won2JpOEU_60_80@3,bir kedi yüzünü temizliyor,a cat is cleaning its face
f9Won2JpOEU_60_80@4,bir kedi pençesini temizliyor,a cat is cleaning its paw
f9Won2JpOEU_60_80@9,bir kedi pençe yalayarak yerde yatıyor,a cat is laying on the floor licking it s paw
f9Won2JpOEU_60_80@10,bir kedi ellerini yalıyor,a cat is licking its hands
f9Won2JpOEU_60_80@11,bir kedi bacağını yalıyor,a cat is licking its leg
f9Won2JpOEU_60_80@12,yerde yatarken kedi bir pençe yalıyor,a cat is licking its paw while lying on the floor
f9Won2JpOEU_60_80@13,bir kedi pençesini yalıyor,a cat is licking its paw
f9Won2JpOEU_60_80@15,bir kedi yüzünü yıkıyor,a cat is washing its face
f9Won2JpOEU_60_80@16,bir kedi yere koyar,a cat lays on the floor
f9Won2JpOEU_60_80@17,ahşap yerde yatan bir gri kedi sağ ön pençesi ile yüzünü ovuyor ve ardından yalıyor,a grey cat lying on a wooden floor is rubbing his face with his right fore paw and thereafter licks it
f9Won2JpOEU_60_80@18,büyük bir kedi pençe yalayarak ve pençesiyle yüzünü ovalayarak kendini temizliyor,a large cat is cleaning itself by licking a paw and rubbing the paw over his face
f9Won2JpOEU_60_80@19,kedi pençeyle yüzünü temizledi,the cat cleaned his face with his paw
f9Won2JpOEU_60_80@20,kedi kendine banyo yaptırdı,the cat gave himself a bath
f9Won2JpOEU_60_80@22,kendini temizleyip yalayan bir kedi,a cat licking itself clean
f9Won2JpOEU_60_80@23,ahşap yerde ovan bir kedi,a cat scrubbling on the wooden floor
f9Won2JpOEU_60_80@24,bir kedi kendini temizliyor,a cat is grooming itself
f9Won2JpOEU_60_80@26,kedi kendini temizliyor,the cat is cleaning it self
f9Won2JpOEU_60_80@27,bir kedi yüzünü yıkıyor yerde yatarken,a cat is lying on the floor washing his face
f9Won2JpOEU_60_80@28,kendini temizleyen bir kedi,a cat cleaning itself
f9Won2JpOEU_60_80@31,kedi ayağını yalıyor,the cat is licking its foot
f9Won2JpOEU_60_80@32,kedi yerde dinleniyor ve bacağını baş ve dili ile temizliyor,the cat resting on the floor and clean his leg with head and tongue
f9Won2JpOEU_60_80@33,bir kedi iki bacaklı duruyor,a cat is standing with two legs
f9Won2JpOEU_60_80@34,bir kedi uzanıyor,a cat is lying down
f9Won2JpOEU_60_80@35,bir kedi pençesini yalıyor ve yüzünü temizliyor,a cat is licking its paw and cleaning its face
f9Won2JpOEU_60_80@36,bir kedi bacaklarını ağzına sürtüyor,a cat is rubbing her mouth with legs
f9Won2JpOEU_60_80@37,bir kedi bir şey hakkında endişeleniyor,a cat is worrying about thing something
f9Won2JpOEU_60_80@38,bir kedi yüzünü ovuşturarak yatıyor,a cat is laying down rubbing it s face
f9Won2JpOEU_60_80@39,bir kedi yerde dururken pençelerini yalıyor,a cat is licking his paws while laying down on the floor
f9Won2JpOEU_60_80@40,onun pençesini yalayan kedi,cat licking his paw
f9Won2JpOEU_60_80@42,bir kedi sol pençesini yalıyor,a cat licks his left paw
f9Won2JpOEU_60_80@43,bir kedi pençe ile burnunu tırmalıyor ve yalıyor,a cat is scratching its nose with its paw and licking it
f9Won2JpOEU_60_80@44,burnunu kaşıyan bir kedi,a cat itching her nose
f9Won2JpOEU_60_80@45,bir kedi yerde uyuyor,a cat is sleeping on floor
f9Won2JpOEU_60_80@47,bir kedi kaşınıyor,a cat is itching
f9Won2JpOEU_60_80@48,bir çeşit dans adımlarını atmaya çalışan bir kedi,a cat trying to do some sort of dancing steps
f9Won2JpOEU_60_80@49,bir kedi pençesini ağzına alır,a cat take his paw on his mouth
f9Won2JpOEU_60_80@50,bir kedi kendini yıkıyor,a cat is bathing itself
f9Won2JpOEU_60_80@51,oynayan kedi,a playing cat
f9Won2JpOEU_60_80@52,yerde bir kedi,a cat on the floor
f9Won2JpOEU_60_80@53,bir kedi tükürüğünü pençesini yalayarak ve ovalayarak temizler,a cat uses its saliva to clean by licking its paw and rubbing it
f9Won2JpOEU_60_80@54,bir kedi piyonu yalıyor,a cat is licking it s pawn
f9Won2JpOEU_60_80@55,ne komik kedi,what a funny cat
f9Won2JpOEU_60_80@57,bir kedi pençesini yalıyor,a cat is licking its paw
f9_bP219ehQ_63_70@1,park etkinliğinde röportaj yapan bir adam,a man being interviewed at a park event
f9_bP219ehQ_63_70@2,bir adam mikrofona konuşuyor,a man is speaking into a microphone
f9_bP219ehQ_63_70@3,bir adam mikrofona konuşuyor,a man is speaking into a microphone
f9_bP219ehQ_63_70@4,bir adam mikrofona konuşuyor,a man is speaking into a microphone
f9_bP219ehQ_63_70@5,bir adam bir insan kalabalığıyla konuşuyor,a man is speaking to a crowd of people
f9_bP219ehQ_63_70@6,bir adam seyirci ile konuşuyor,a man is speaking to an audience
f9_bP219ehQ_63_70@8,bir adam mikrofona konuşuyor,a man is talking into a microphone
f9_bP219ehQ_63_70@11,bir adam mikrofona konuşur,a man talks into a microphone
f9_bP219ehQ_63_70@13,yaşlı bir adam bir insan toplantısı arasında fikrini veriyor,an elderly man is giving his opinion amongst a gathering of people
f9_bP219ehQ_63_70@14,yaşlı bir adam mikrofona konuşur,an older man speaks into a microphone
f9_bP219ehQ_63_70@15,adam bir izleyici ile konuşuyor,the man is speaking to an audience
f9_bP219ehQ_63_70@16,adam bir mitingde konuştu,the man spoke at a rally
f9_bP219ehQ_63_70@17,adam bir mitingde konuştu,the man spoke at a rally
f9_bP219ehQ_63_70@18,çay partisi üyesi bir konuşma yapıyor,tea party member is giving a speech
f9_bP219ehQ_63_70@20,kişi bir şeyler konuşuyor,the person is speaking something
f9_bP219ehQ_63_70@21,bir adam mikrofonla konuşuyor,a man is speaking on a microphone
f9_bP219ehQ_63_70@22,yaşlı bir adam mikrofondan konuşuyor,an old man is speaking through the mike
f9_bP219ehQ_63_70@23,bir adam kalabalıkla konuşuyor,a man is talking to the crowd
f9_bP219ehQ_63_70@24,muhabirle konuşan bir adam,a man speaking to a reporter
f9_bP219ehQ_63_70@25,yaşlı adam kalabalığa konuşuyor,n old man is talking to the crowd
f9_bP219ehQ_63_70@26,çay partisinde insanlar toplandı,people were gathered in tea party
f9_bP219ehQ_63_70@27,bir ihtiyar konuşuyor,an oldman is speaking
f9_bP219ehQ_63_70@28,bir adam mikrofona konuşur,a man talks into a microphone
f9_bP219ehQ_63_70@29,bir erkek röportaj veriyor,a man is giving interview
f9_bP219ehQ_63_70@30,bir adam konuşma yapıyor,a man is giving a seech
f9_bP219ehQ_63_70@31,bir adam bir ayet hakkında konuşuyor,a man is speaking about a verse
f9_bP219ehQ_63_70@32,bir adam mikrofona konuşur,a man talks into a microphone
f9_bP219ehQ_63_70@33,bir adam halka açık yerleştirme dersleri veriyor,a man is lecturing on public placement
f9_bP219ehQ_63_70@35,çay partisi sırasında bir mikrofonda konuşan bir adam,a man speaking something in a mic during a tea party
f9_bP219ehQ_63_70@36,halklara konuşma yapan bir adam,a man giving a speech to the peoples
f9_bP219ehQ_63_70@37,bir adam mikrofona konuşur,a man talks into a microphone
f9_bP219ehQ_63_70@38,yaşlı adamla röportaj yapıldı,the old man is being interviewed
f9_bP219ehQ_63_70@39,kalabalığın içinde bir adam konuşuyor,a man speech in the crowed
f9_bP219ehQ_63_70@40,konuşan bir kişi,a person speaking their
f9_bP219ehQ_63_70@41,çay partisinde kalabalığa vaaz veren bir adam,a man preaches to a crowd at a tea party
f9_bP219ehQ_63_70@42,bir erkek röportajı verir,a men give the interview
f9_bP219ehQ_63_70@44,insanlar tek bir yerde toplanır,people are gathered in one place
f9_bP219ehQ_63_70@45,bir adam dışarıda bir grubun önünde konuşuyor,a man is speaking in front of a group outside
f9_bP219ehQ_63_70@46,çay partisi üyesi sersemletici,tea party member stuns crowd original
fBA_lxUiwSg_2_4@1,bir kedi masaya atlıyor,a cat is jumping on the table
fBA_lxUiwSg_2_4@2,bir kedi bir masadan atlar,a cat jumps from a table
fBA_lxUiwSg_2_4@3,mutfak masasından yere bir kedi sıçradı,a cat pounces from the kitchen table to the floor
fBA_lxUiwSg_2_4@4,bir yavru kedi bir masadan atlarken için başarısız oluyor,a kitten is failing to jump off a table
fBA_lxUiwSg_2_4@5,bir yavru kedi masadan atlıyor,a kitten is jumping from table
fBA_lxUiwSg_2_4@6,bir yavru kedi masadan atlıyor,a kitten is jumping off a table
fBA_lxUiwSg_2_4@7,yemek masası üzerinden bir kedi yavrusu atladı,a kitten jumped from from the dining table
fBA_lxUiwSg_2_4@8,bir yavru kedi masadan atlar,a kitten jumps off a table
fBA_lxUiwSg_2_4@9,bir yavru kedi masadan atlamak çalışır ve düşüyor,a kitten tries to jump from table and falls down
fBA_lxUiwSg_2_4@10,bir masanın bir kenarında duran hafif kahverengi kedi yavrusu aşağı atlar,a light brown kitten standing on one edge of a table jumps down
fBA_lxUiwSg_2_4@11,bir masadan atlayan yavru kedi,kitten jumping off a table
fBA_lxUiwSg_2_4@12,kedi masadan düştü,the cat fell from the table
fBA_lxUiwSg_2_4@13,kedi korkuluktan atladı,the cat jumped off the railing
fBA_lxUiwSg_2_4@14,kedi masadan korkuluktan atlamaya çalıştı,the cat tried to jump to the railing from the table
fBA_lxUiwSg_2_4@15,kedi yemek masasından atlıyor,the cat is jumping from the dinning table
fBA_lxUiwSg_2_4@16,bir yavru kedi atlamaya çalışıyor,a kitten is trying to jump
fBA_lxUiwSg_2_4@17,bir yavru kedi bir masadan atlamaya çalışır,a kitten trys to jump from a table
fBA_lxUiwSg_2_4@18,bir kedi bir masadan atlar,a cat jumps off of a table
fBA_lxUiwSg_2_4@19,bir kedi masaya atlıyor,a cat is jumping on thi table
fBA_lxUiwSg_2_4@20,bir kedi atlıyor,a cat is jumping
fBA_lxUiwSg_2_4@21,bir kedi atlıyor,a cat jumping their
fBA_lxUiwSg_2_4@22,bir kedi masadan atlıyor,a cat is jumping from the table
fBA_lxUiwSg_2_4@23,bir kedi bir masadan atlıyor,a cat is jumping off a table
fBA_lxUiwSg_2_4@24,kedi atladı sonra düştü,the cat jumped then fell
fBA_lxUiwSg_2_4@25,bir kedi masadan atlar,a cat jumps off a table
fBA_lxUiwSg_2_4@26,bir yavru kedi bir masadan atlar,a kitten jumps off of a table
fBA_lxUiwSg_2_4@27,bir kedi masadan atlar,a cat jumps off a table
fBA_lxUiwSg_2_4@28,komik bir kedi atlıyor,a funny cat is jumping
fBA_lxUiwSg_2_4@29,bir kedi masadan atlar,a cat jumps off a table
fBA_lxUiwSg_2_4@30,bir kedi bir demiryolu üzerinde atlamaya çalışır,a cat attempts to jump on a rail
fBA_lxUiwSg_2_4@31,bir kedi masadan aşağı atlıyor,a cat is jumping down from the table
fBA_lxUiwSg_2_4@32,bir kedi atlıyor,a cat is jumping
fBA_lxUiwSg_2_4@33,bir kedi masadan atlar,a cat jumps off the table
fBA_lxUiwSg_2_4@34,atlamaya çalışan bir kedi,a cat trying to jump
fBA_lxUiwSg_2_4@35,bir yavru kedi masadan atlıyor,a kitten is jumping off a table
fBA_lxUiwSg_2_4@36,bir kedi bir masadan aşağı atlıyor,a cat is jumping down from a table
fBA_lxUiwSg_2_4@37,bir kedi bir masadan atlar,a cat jumps off of a table
fBA_lxUiwSg_2_4@38,bir kedi bir masadan atlıyor,a cat is jumping off a table
fBA_lxUiwSg_2_4@39,bir yavru kedi atlıyor,a kitten is jumping
fBA_lxUiwSg_2_4@40,bir kedi yemek masasından aşağı atlıyor,a cat is jumping down from the dinning table
fBA_lxUiwSg_2_4@41,beyaz kedi atlayamaz,white cats cant jump
fBA_lxUiwSg_2_4@42,bir yavru kedi bir masa çıkıntısından atlar,a kitten jumps off a table ledge
fBA_lxUiwSg_2_4@43,bir masadan atlamaya çalışan bir kedi,a cat jumping off a table
fBA_lxUiwSg_2_4@44,kedi masadan bir korkuluktan bir sıçrama kaçırıyor,cat misses a jump from the table to a railing
fBA_lxUiwSg_2_4@45,bir yavru kedi masaya atlıyor,a kitten is jumping over the table
fBA_lxUiwSg_2_4@46,bir kedi korkuluktan atlar,a cat jumps off the banister
fBA_lxUiwSg_2_4@47,bir yavru kedi atlıyor,a kitten is jumping
fBA_lxUiwSg_2_4@48,bir yavru kedi masadan balkona atlar ve başarısız olur,a kitten jumps from the table onto the balcony and fails
fBA_lxUiwSg_2_4@49,burada ve orada misafir odasında oynayan bir kedi,a cat playing here and there in a drawing room
fBA_lxUiwSg_2_4@50,atlamaya çalışırken komik kedi,a funny cat trying to jump
fBA_lxUiwSg_2_4@51,bir yavru kedi atlamaya çalışır,a kitten attempts to jump
fBA_lxUiwSg_2_4@53,bir araba yemek masasından atlar,a car jumps off a dinning table
fBA_lxUiwSg_2_4@54,kedi masadan düştü,the cat fell off the table
fBA_lxUiwSg_2_4@55,sıçramaya çalışan bir yavru kedi,a kitten attempting to leap
fBA_lxUiwSg_2_4@56,bir yavru kedi masadan atlar,a kitten jumps off a table
fBA_lxUiwSg_2_4@57,masadan atlayan bir kedi,a cat jumping from table
fBA_lxUiwSg_2_4@58,sarı yavru kedi bir masadan bir demiryoluna atlamaya çalışır ve havada düşer,a yellow kitten tries to jump off a table to a rail and falls midair
fEsrO_poIUg_161_168@1,bir adam büyük bıçağın ucunu mengeneye sokar ve bıçağı ona doğru çeker,a man inserts the tip of a large knife into a vise and pulls the knife towards him
fEsrO_poIUg_161_168@2,bir adam bir mengeneye bıçağı koyar,a man puts a knife in a vice
fEsrO_poIUg_161_168@3,bir adam bıçağı mengeneye sokar,a man puts a knife into a vice
fEsrO_poIUg_161_168@4,bir adam bıçağın bıçağını mengeneye sıkıştırıyor,a man is clamping the blade of a knife in a vise
fEsrO_poIUg_161_168@5,bir adam av bıçağını mengeneye sokuyor,a man is putting a hunting knife in a vise
fEsrO_poIUg_161_168@6,bir adam bir makineye bıçak koyuyor,a man is putting a knife to a machine
fEsrO_poIUg_161_168@7,bir adam bir mengenenin içine bıçak sokuyor,a man is putting a knife into a vice
fEsrO_poIUg_161_168@8,bir adam bir mengeneye bıçağı koyuyor,a man is putting a knife in a vice
fEsrO_poIUg_161_168@9,bir adam bir bıçak bıçağını kırmaya çalışır,a man trys to break a knife blade
fEsrO_poIUg_161_168@10,bir adam bıçağı mengeneye sıkıştırıyor,a man is clamping a knife into a vise
fEsrO_poIUg_161_168@11,adam bıçağı kelepçeye koyuyor,the man put the knife in the clamp
fEsrO_poIUg_161_168@12,adam bıçağı sıktı,the man clamped the knife
fEsrO_poIUg_161_168@13,bir adam bir bıçağı sıkar,a man shappens a knife
fEsrO_poIUg_161_168@14,adam bir koluna çelik bir çubuk koydu,the man put a steel rod in a clench
fEsrO_poIUg_161_168@15,erkekler öğeyi hazırlıyor,the men is preparing the item
fEsrO_poIUg_161_168@16,odun kesmek için bıçak bileyen bir adam,a man sharpening his knife to cut wood
fEsrO_poIUg_161_168@17,bir adam bir kelepçeye bir bıçak koyuyor,a man is putting a knife in a clamp
fEsrO_poIUg_161_168@18,bir adam bir bıçağı dengeliyor,a man is balancing a knife
fEsrO_poIUg_161_168@19,bir adam çalışıyor,one man is working
fEsrO_poIUg_161_168@20,bir adam bir bıçağı sıkıyor,a man is clamping down a knife
fEsrO_poIUg_161_168@21,bir adam bir bıçağı yerine sabitler,a man fixes a knife in place
fEsrO_poIUg_161_168@22,bir adam makinenin tutamacını yuvarlıyor,a man is rolling the handle of the machine
fEsrO_poIUg_161_168@23,bir adam bıçağı mengeneye sokar,a man puts a knife into a vice
fEsrO_poIUg_161_168@24,bir adam bir bıçak yerleştirerek mengene kavrıyor,a man placing a knife in a vice grip
fEsrO_poIUg_161_168@25,bir adam bir makinede bir bıçak kelepçeler,a man clamps a knife in a machine
fEsrO_poIUg_161_168@26,tamir eden bir adam,a man repairing
fEsrO_poIUg_161_168@27,bir adam bir mengeneye bıçağı koyuyor,a man is putting a knife in a vice
fEsrO_poIUg_161_168@28,bir makine sıkan bir adam,a man tightening a machine
fEsrO_poIUg_161_168@29,adam bıçağı kelepçeye koyar,the man put the knife in the clamp
fEsrO_poIUg_161_168@30,adam bir kelepçeye bıçak koymuş,the man put a knife in a clamp
fEsrO_poIUg_161_168@31,bir adam bir bıçağı kelepçeye tutturur,a man fastens a knife blade in a clamp
fEsrO_poIUg_161_168@32,bir adam bıçağı makineye tutuyor,a man is keep the knife on the machine
fF89MasBFLw_321_326@1,genç bir kadın yüzünün her tarafında çıkartmalar koyuyor,a young woman is putting stickers all over her face
fF89MasBFLw_321_326@2,bir kadın çıkartmaları yüzüne koyar,a woman puts stickers on her face
fF89MasBFLw_321_326@3,bir kadın başına bir çıkartma koyar,a woman puts a sticker on her head
fF89MasBFLw_321_326@4,bir kız çıkartmaları yapıştırıyor,a girl is sticking stickers
fF89MasBFLw_321_326@5,bir kız yüzünde çıkartmalar koyuyor,a girl is putting stickers on her face
fF89MasBFLw_321_326@6,bir kız yüzünde çıkartmalar koyuyor,a girl is putting stickers on her face
fF89MasBFLw_321_326@7,bir kadın yüzünü dövme yapıyor,a woman is tattooing her face
fF89MasBFLw_321_326@8,genç bir kadının yüzünde çıkartmalar koyuyor,a young woman is putting stickers on her face
fF89MasBFLw_321_326@9,bir kız yüzüne çıkartmalar koyuyor,a girl is putting stickers onto her face
fF89MasBFLw_321_326@10,bir kadın yüzünde çıkartmalar koyuyor,a woman is putting stickers on her face
fF89MasBFLw_321_326@11,bir kız yüzünde çıkartmalar koyar,a girl puts stickers on her face
fF89MasBFLw_321_326@12,bir kadın yüzüne çıkartmaları uyguluyor,a woman is applying stickers to her face
fF89MasBFLw_321_326@13,bir kadın alnına bir çıkartma yapıştırırken yüzü zaten birçok çıkartma ile kaplanmıştır,a woman fastens a sticker on her forehead while her face is already covered with many stickers
fF89MasBFLw_321_326@14,kız yüzünde çıkartmalar koyuyor,the girl put stickers on her face
fF89MasBFLw_321_326@15,kızın yüzünde çıkartmalar koyuyor,the girl is putting stickers on her face
fF89MasBFLw_321_326@16,bir kız yüzünde çıkartmalar koyar,a girl puts stickers on her face
fF89MasBFLw_321_326@17,kız yüzüne çıkartmaları uyguladı,the girl applied stickers to her face
fF89MasBFLw_321_326@18,bir kız yüzünde çıkartmalar koyuyor,a girl is putting stickers on her face
fF89MasBFLw_321_326@19,yüzündeki çıkartmaları çeken bir kadın,a woman pulling off stickers on her face
fF89MasBFLw_321_326@20,çıkartmalar yapıştıran kadınlar,the women sticking the stickers
fF89MasBFLw_321_326@21,bir kız yüzüne etiket koyuyor,a girl is putting sticker on her face
fF89MasBFLw_321_326@22,bir kız yüzüne çıkartmalar koyuyor,a girl is putting stickers on her face
fF89MasBFLw_321_326@23,yüzünde çıkartmalar yapıştıran bir kız,a girl pasting stickers on her face
fF89MasBFLw_321_326@24,yüzünde çıkartmalar yapıştıran bir kız,a girl pasting stickers on her face
fF89MasBFLw_321_326@25,bir kız yüzünde çıkartmalar yerleştirir,a girl places stickers on her face
fF89MasBFLw_321_326@26,bir kız yüzünde çıkartmalar koyar,a girl puts stickers on her face
fF89MasBFLw_321_326@27,bir kız etiketi yüzüne yapıştırır,a girl stitched sticker in face
fF89MasBFLw_321_326@28,bir kadın çıkartmaları yüzüne koyar,a woman puts stickers on her face
fF89MasBFLw_321_326@29,bir kadın yüzüne çıkartma yapıştırır,a woman sticker her face
fF89MasBFLw_321_326@30,genç bir kadının yüzünde çıkartmaları koyuyor,a young woman is putting stickers on her face
fF89MasBFLw_321_326@31,kızın yüzünde süper çıkartmalar,super stickers in the girl face
fF89MasBFLw_321_326@32,kız yüzünde çıkartmalar koyuyor,the girl put stickers on her face
fF89MasBFLw_321_326@33,kadın yüzünde çıkartmalar koyuyor,the woman is putting stickers on ther face
fF89MasBFLw_321_326@34,bir kız stiker ekliyor,a girl is addicting stricers
fF89MasBFLw_321_326@35,kadınlar çıkartma çıkartıyor,the women is removing stickers
fGc6_D0JEIQ_31_46@2,havlu sarılı üç adam dans ediyor,three men wrapped in towels are dancing
